X,Y,Z,M
1.890962,5.115060,5.355484,10.000000
3.229402,4.436944,5.937868,10.000000
3.101077,5.036794,6.179442,10.000000
7.053079,7.827972,4.185495,10.000000
3.008969,4.947075,6.113802,10.000000
2.249542,4.174091,6.462854,10.000000
2.090757,3.926329,5.866307,10.000000
2.752363,4.007476,6.615991,10.000000
6.356701,4.200155,5.401555,10.000000
1.221257,6.616338,8.924492,10.000000
1.584785,4.670911,7.488912,10.000000
3.282815,4.899266,5.408661,10.000000
2.579327,4.195537,6.087183,10.000000
2.757643,5.015332,4.170267,10.000000
2.242669,4.103260,5.885620,10.000000
